customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default,dti_ratio,lti_ratio,credit_utilisation,predicted_pd,expected_loss
8153374,0,5221.545193,3915.471226,78039.38546,5,605,0,0.0501730145992361,0.0669091018877431,0.0,1.0204160521329232e-31,4.795333678687232e-28
7442532,5,1958.928726,8228.75252,26648.43525,2,572,1,0.3087893320115296,0.0735100844617133,1.0,1.0,1763.0358534000002
2256073,0,3363.009259,2027.83085,65866.71246,4,602,0,0.0307868842130457,0.0510577973819827,0.0,3.6458973057131465e-30,1.1035067756828819e-26
4885975,0,4766.648001,2501.730397,74356.88347,5,612,0,0.0336449065675183,0.0641049998138121,0.0,7.697130877625406e-33,3.3020562160141666e-29
4700614,1,1345.827718,1768.826187,23448.32631,6,631,0,0.0754350721503585,0.05739547037206,0.2,2.5753533990893404e-25,3.1193837893259556e-22
4661159,0,5376.886873,7189.121298,85529.84591,2,697,0,0.0840539489053313,0.0628656209512864,0.0,7.247935211009946e-25,3.5074194923190485e-21
8291909,1,3634.057471,7085.980095,68691.57707,6,722,0,0.1031564625132867,0.0529039749268927,0.2,2.0164967313927257e-27,6.5952585107683335e-24
4616950,4,3302.172238,13067.57021,50352.16821,3,545,1,0.2595234857712595,0.0655815301583018,0.8,0.999999999999966,2971.955014199899
3395789,0,2938.325123,1918.404472,53497.37754,4,676,0,0.035859785286963,0.054924657209655,0.0,3.737681469519615e-31,9.884271027294939e-28
4045948,0,5396.366774,5298.824524,92349.55399,2,447,0,0.0573779113711126,0.0584341400780813,0.0,1.359632898271577e-20,6.603370017363055e-17
1946105,5,4224.542337,18858.28272,76975.03318,7,640,1,0.2449921999500981,0.0548819813707808,1.0,0.9999998825138383,3802.0876566072625
7026356,1,5470.06369,10357.63606,98688.26823,5,636,0,0.1049530632745606,0.0554276996456319,0.2,2.2820042320839774e-23,1.1234437641314007e-19
3555143,1,3440.842174,7009.017521,49413.51814,3,527,0,0.1418441306110166,0.0696336205864009,0.2,3.279256914844181e-12,1.0155064942779286e-08
1852525,1,4799.604414,7321.171391,81534.51708,5,638,0,0.0897922947629237,0.0588659206663446,0.2,5.892123116394716e-24,2.5451874105551567e-20
2436643,0,2909.447925,2713.013317,62340.39145,2,616,0,0.0435193500377033,0.0466703505917751,0.0,8.197447652559409e-25,2.1465042356731584e-21
1089094,0,3281.568882,6447.096241,63042.43756,3,644,0,0.1022659733749038,0.0520533312005393,0.0,2.4402095554808746e-24,7.206944168542581e-21
2618670,0,5579.715349,1755.76098,83490.03355,3,606,0,0.0210295876686709,0.0668309151613701,0.0,5.0367610668013383e-29,2.529332373030934e-25
4841253,1,4407.471929,8331.603288,54527.70813,3,727,0,0.1527957725297485,0.0808299501327308,0.2,1.5169188223746952e-16,6.017199415369386e-13
4522930,5,2761.049506,16620.80342,52428.52206,4,627,1,0.3170183473983664,0.05266311918616,1.0,1.0,2484.9445554
2999053,0,4461.847138,6965.056642,98149.74308,6,581,0,0.0709635748748003,0.0454595906008967,0.0,3.919082174994038e-33,1.573771102747557e-29
2723215,2,3477.433899,8389.081942,70760.64317,8,667,0,0.1185557615954044,0.0491436163270249,0.4,9.081412520699654e-24,2.842201057525562e-20
1467134,4,2608.798997,11177.43742,39682.19883,1,480,1,0.2816738424169626,0.0657422994168289,0.8,1.0,2347.9190973
4754857,1,5138.918794,11566.29898,101268.5826,5,677,0,0.1142140897309251,0.05074544011639,0.2,7.197364675962345e-24,3.3288005340517154e-20
4039149,2,4199.164596,9607.021343,62160.28338,6,726,0,0.1545524058227033,0.0675538200224981,0.4,8.993428998512854e-18,3.398839978247542e-14
8521446,0,3334.584216,2992.09521,68928.27308,5,596,0,0.0434088230605646,0.0483775969859246,0.0,7.864625310583236e-32,2.360272988288246e-28
1279600,1,3079.55134,4606.951938,54592.43358,7,605,0,0.0843881035500817,0.0564098564224511,0.2,1.4251183777635578e-27,3.949852688910351e-24
7269476,0,3040.960977,4404.918315,47012.43037,2,636,0,0.0936968857030396,0.0646841899699047,0.0,1.4290030019173826e-21,3.910988128361956e-18
2289318,0,2212.887987,610.7649879,42642.15937,4,642,0,0.0143230314065589,0.0518943697902135,0.0,4.466426806224634e-31,8.895332001878344e-28
6552907,0,3285.841537,4459.926443,66382.17214,4,596,0,0.0671856057013924,0.0494988553563773,0.0,8.001947069342503e-28,2.3663817051588913e-24
8753437,0,3258.508608,3982.097842,72023.81125,2,667,0,0.0552886298696113,0.0452421019027926,0.0,9.095207130561878e-26,2.6673129653830977e-22
4320547,1,3438.165737,6899.967887,95771.69288,7,580,0,0.0720460052392048,0.0358996028326235,0.2,3.040802850187791e-29,9.409305755238845e-26
5451200,2,4929.427201,10002.59086,65532.66639,4,697,0,0.1526351880827231,0.0752209161102013,0.4,3.2651284395361662e-12,1.4485691650147437e-08
6325220,5,3507.902474,19990.89793,69486.70311,4,542,1,0.2876938613471655,0.0504830754230325,1.0,1.0,3157.1122266
6037431,3,5527.944216,14795.18286,78210.76357,4,668,0,0.1891706740180084,0.0706800952154417,0.6,0.004239177429970944,21.09054271914506
3258404,1,3044.751919,4972.39513,53714.70992,6,787,0,0.0925704548606077,0.0566837636009707,0.2,2.8929181423690653e-29,7.927396258939314e-26
4529904,0,2979.485594,5964.402963,60680.19975,4,673,0,0.0982924081920149,0.0491014467037907,0.0,9.780277507254722e-28,2.6226176344368912e-24
4756862,0,1598.115491,2106.924814,26071.77675,4,609,0,0.080812475275587,0.0612967618710527,0.0,6.977107193265123e-26,1.0035200779132073e-22
2671353,5,5691.710738,25802.3152,85075.45006,4,541,1,0.3032874369962516,0.0669019174625098,1.0,1.0,5122.5396642
8919468,0,6122.534809,3308.52031,86757.74902,4,560,0,0.0381351561949503,0.0705704663636281,0.0,3.008727082722084e-29,1.6578932665272284e-25
7240623,5,4296.127286,22541.026,74379.07589,2,607,1,0.3030560104475641,0.0577598905954893,1.0,1.0,3866.5145574
7096072,1,5713.466421,9572.714973,89956.31788,5,631,0,0.1064151490256617,0.0635137870874356,0.2,7.831987731035905e-23,4.027301901986186e-19
6645305,2,3196.367779,12285.43342,92085.61348,7,746,0,0.1334131679827301,0.034710826786143,0.4,6.358926972083521e-23,1.829292235432362e-19
8551890,0,5044.106619,5378.621481,91383.46571,4,530,0,0.0588577095343345,0.0551971473155458,0.0,1.8175240792669825e-27,8.251006714580222e-24
7602707,0,3712.750866,3748.47485,58773.4523,6,615,0,0.0637783676695813,0.0631705424933835,0.0,6.890659747684956e-33,2.3024972650975795e-29
4951943,5,3308.441678,18042.03529,60513.88204,4,552,1,0.2981470479463558,0.0546724415368543,1.0,1.0,2977.5975102
6288882,2,3056.005959,8496.600307,76750.28031,8,606,0,0.1107044856732979,0.0398175217947943,0.4,5.699419206968597e-23,1.567571315340158e-19
4382360,3,4806.864262,14702.98825,87593.08538,5,599,0,0.1678555811365118,0.0548772113820019,0.6,1.9432984083945673e-05,0.08407054502741994
4144487,0,4392.816559,5063.187358,55462.63115,4,679,0,0.0912900677991004,0.079203176407544,0.0,1.1858358292568189e-27,4.688243340313365e-24
1629547,0,3019.475375,446.3892355,44638.92355,3,603,0,0.01,0.0676422085227456,0.0,1.0700572292655236e-27,2.90791030824718e-24
2948051,0,4470.490457,2387.751259,66307.55718,4,764,0,0.0360102431841691,0.0674205271182635,0.0,1.0041374497627225e-33,4.0400881980125114e-30
1237675,1,4357.308441,10823.44917,89452.65138,6,736,0,0.1209964042767314,0.0487107802147742,0.2,4.018157249412067e-27,1.5757515450115687e-23
7125694,0,2904.436456,3806.284655,45019.50894,4,751,0,0.0845474494196026,0.0645150630112581,0.0,8.203021432502201e-30,2.144263904811786e-26
1113748,1,1888.053856,4179.967159,36004.06641,5,610,0,0.1160970850181253,0.0524400170386198,0.2,1.1096871254495308e-20,1.8856341505426883e-17
2512418,4,3167.933042,11269.54487,53739.73516,7,663,0,0.2097059994145308,0.0589495469705623,0.8,0.006208607268776721,17.701606900403238
7678486,0,2647.608576,3633.448864,69427.6089,6,737,0,0.0523343511546456,0.0381348085862136,0.0,1.8174847236940296e-37,4.330789327081173e-34
5161636,0,2264.648869,2138.377198,30248.31246,3,629,0,0.0706940990783457,0.0748686020747353,0.0,2.454202671772531e-24,5.002116574433797e-21
7365670,3,2673.54163,7233.006733,46791.58228,7,689,0,0.1545792294374192,0.057137234941139,0.6,5.252923631985793e-13,1.2639519008392336e-09
6381573,5,3848.509319,18052.44355,60919.57161,4,587,1,0.2963324112909007,0.063173610997098,1.0,1.0,3463.6583871
3238472,5,4604.738825,24614.66577,78697.94413,5,692,1,0.3127739363729678,0.0585115516790819,1.0,0.9999999999999989,4144.264942499995
3252127,0,3372.376095,3405.489888,55026.27562,3,706,0,0.0618884314744033,0.0612866500049708,0.0,6.380649443651128e-28,1.9366154688909705e-24
8571897,1,4689.997284,7454.473944,89940.20848,8,515,0,0.0828825513080465,0.0521457239566318,0.2,6.585750150005262e-29,2.7798435284964548e-25
1444612,0,2813.780246,1909.867606,47804.87496,6,702,0,0.0399513147476706,0.0588596926224446,0.0,3.92742012654775e-36,9.94580745284059e-33
6562873,0,3369.099325,3477.305329,51756.93553,3,638,0,0.0671853017067527,0.065094644621051,0.0,1.0559768110805302e-25,3.2019216852843605e-22
6714332,1,3179.923385,6909.539007,77842.18685,6,612,0,0.0887634236216219,0.0408508999256101,0.2,6.077757704088841e-26,1.7394123466436416e-22
3087069,0,4294.47539,7237.49265,70514.35871,3,583,0,0.1026385658524554,0.0609021406216231,0.0,8.250203070541606e-23,3.1887264644049024e-19
8010926,0,6148.494512,843.3674406,84336.74406,5,720,0,0.01,0.0729041010597439,0.0,1.7967389969343628e-37,9.942515875932584e-34
6551322,0,5204.224599,5528.201971,106426.3955,4,607,0,0.0519438993026875,0.0488997543753137,0.0,1.5711368196886653e-30,7.358893996876541e-27
3672265,1,5423.942645,8524.640887,99150.69003,7,750,0,0.0859766168487652,0.0547040332584561,0.2,1.7781234778869077e-32,8.679995783807862e-29
3068840,0,5259.363393,885.0746882,88507.46882,5,662,0,0.01,0.0594228200525778,0.0,2.2016780659804644e-36,1.0421482521049823e-32
6031818,5,3280.272295,18732.54767,67417.22083,3,563,1,0.2778599805713765,0.0486562966348252,1.0,1.0,2952.2450655000002
6410292,0,3691.985766,5641.919221,75507.14829,4,611,0,0.0747203324290715,0.0488958442956977,0.0,4.9278790475896945e-28,1.637429337024371e-24
2195286,1,2800.316359,4540.64595,43040.16541,3,754,0,0.1054978740612604,0.0650628623827122,0.2,5.649749131078854e-20,1.4238976424405535e-16
2483066,1,1645.741726,3344.06227,37660.8669,7,663,0,0.0887940864154669,0.0436989868122233,0.2,1.4620681399337819e-28,2.1655678897298085e-25
8380627,1,5137.219376,8042.606207,79741.33151,6,709,0,0.1008586896494374,0.0644235464685683,0.2,2.411565373711192e-27,1.1149866327887836e-23
8926016,5,4455.723618,21759.58907,68241.17866,4,576,1,0.3188630310507008,0.0652937669819549,1.0,1.0,4010.1512562000003
1729821,5,4611.226168,25172.40934,87306.38652,5,611,1,0.2883226570628203,0.0528165962629053,1.0,0.9999999999999998,4150.1035512
8935419,2,2228.164899,7430.4677,61714.77493,8,669,0,0.1204001425659902,0.0361042376242528,0.4,9.548744797345231e-24,1.914856018825816e-20
7713931,5,4477.721762,25525.87565,63190.6675,3,612,1,0.40395008724983,0.0708604915749624,1.0,1.0,4029.9495858
2593152,1,6114.066639,10454.60074,90441.83333,5,720,0,0.1155947458722307,0.0676021970573205,0.2,1.9618360030225145e-24,1.0795316451542153e-20
4265770,2,3682.300399,13665.47622,81215.98749,5,589,0,0.1682609131814423,0.0453396001551221,0.4,1.6797544683163728e-11,5.566824494013072e-08
6694674,1,2305.03445,4681.362495,54885.43693,7,578,0,0.0852933447714105,0.0419971959581883,0.2,4.324632239943062e-27,8.971583666984483e-24
2878530,0,3270.453879,570.8356554,57083.56554,5,652,0,0.0099999999999999,0.057292389640733,0.0,1.3123646450316209e-34,3.8628252396055103e-31
1760607,0,3157.845091,2359.788951,49538.62055,4,687,0,0.0476353383441154,0.0637451155470254,0.0,1.942692267436467e-30,5.521249116043116e-27
1083392,0,6547.709898,4572.87505,104214.0756,5,633,0,0.0438796297301705,0.0628294197333934,0.0,5.752220311692243e-34,3.3897482883309555e-30
2548560,5,5227.129372,30897.38167,83840.58872,4,569,1,0.368525342458974,0.0623460480395348,1.0,1.0,4704.4164348
7517038,2,2042.535985,5779.605547,36313.79378,6,657,0,0.1591573048526575,0.0562468354965692,0.4,1.1136884528330664e-15,2.047273866891462e-12
3279204,1,3509.853269,9434.868921,75551.558,4,754,0,0.1248798723780123,0.0464563982783783,0.2,3.0199594405690977e-22,9.539653063255974e-19
7787477,0,4911.323807,6452.905939,72112.66078,4,642,0,0.0894836755321844,0.0681062625325028,0.0,1.683218540234714e-27,7.440148160134685e-24
3467139,0,1875.113047,2365.397903,29565.60654,2,708,0,0.080005052485556,0.0634221065095727,0.0,1.201826875589181e-23,2.0282051291872672e-20
8989969,5,4118.251907,19388.55381,72001.48849,3,627,1,0.2692799026327462,0.0571967606971343,1.0,1.0,3706.4267163
4618641,0,7042.304481,4137.426549,85413.0674,5,745,0,0.048440205637668,0.0824499657414247,0.0,1.7574081033824844e-35,1.1138582665256563e-31
3879675,3,2722.706729,8732.939038,48632.57113,7,685,0,0.1795697581905742,0.0559852515657031,0.6,1.5785562279706344e-11,3.868151097600454e-08
2338819,0,4945.33944,2570.333551,85901.95454,3,679,0,0.0299217120816864,0.0575695799528893,0.0,1.5912901236508358e-30,7.08252282807566e-27
8127530,0,3003.766079,4053.095356,39932.25513,3,697,0,0.1014992852971887,0.0752215488261606,0.0,9.987283330554963e-25,2.6999516600714828e-21
2559477,4,3906.630457,16227.27569,56732.91535,1,603,1,0.2860292933985455,0.0688600335959995,0.8,1.0,3515.9674113
5699479,5,3840.418321,14994.26544,53794.32662,1,555,1,0.2787332118853093,0.071390768549414,1.0,1.0,3456.3764889000004
4675595,2,3670.92571,9596.22646,75718.62338,8,687,0,0.1267353529638351,0.0484811469904459,0.4,7.359608806476612e-24,2.4314919464913666e-20
2061413,0,2038.609652,2984.174167,42878.6052,6,625,0,0.0695958777828902,0.0475437492075885,0.0,1.5088837910771634e-32,2.7684225542126315e-29
7431458,0,2914.249997,917.3111082,64879.74563,5,581,0,0.0141386360148711,0.0449177161331604,0.0,3.9331591695030754e-33,1.0315988188132374e-29
1638898,1,3707.461716,4634.160556,57597.45492,5,633,0,0.0804577313778294,0.0643684989406125,0.2,1.3044720340521293e-23,4.3526521132568255e-20
8711328,5,4926.741674,18943.13978,72136.00622,4,622,1,0.2626031128231207,0.0682979545467827,1.0,0.9999999999999998,4434.067506599999
3866572,1,4408.32239,6702.412553,79268.2046,5,610,0,0.0845536061630441,0.0556127442553429,0.2,1.4488389326450293e-23,5.748254195654507e-20
6610306,5,5390.873161,30441.76235,91844.02459,2,584,1,0.3314506576328157,0.0586959596453372,1.0,1.0,4851.7858449000005
